"Name","State","eval/cosine_accuracy@1","test_cosine_accuracy@1","Sweep","ID","test_cosine_accuracy@5","test_cosine_accuracy@3","test_cosine_AUTOAI_accuracy@1","test_cosine_JURAI_accuracy@1","test_cosine_MEDAI_accuracy@1","test_cosine_REFAI_accuracy@1","context_length","add_discussion_scenario_info","model_name","batch_size","num_epochs","warmup_ratio","dataset_name","dataset_split_name","test_cosine_AUTOAI_accuracy@3","test_cosine_AUTOAI_accuracy@5","test_cosine_JURAI_accuracy@3","test_cosine_JURAI_accuracy@5","test_cosine_MEDAI_accuracy@3","test_cosine_MEDAI_accuracy@5","test_cosine_REFAI_accuracy@3","test_cosine_REFAI_accuracy@5"
"electric-sweep-38","finished","0.980722891566265","0.9400479616306956","in distrib all data","f37li40u","0.9808153477218226","0.9760191846522782","0.943661971830986","0.890625","0.978494623655914","0.76","0","false","aari1995/German_Semantic_STS_V2","256","10","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.971830985915493","0.9788732394366196","0.984375","0.984375","0.9838709677419356","0.989247311827957","0.92","0.92"
"fragrant-sweep-16","finished","0.980722891566265","0.9376498800959232","in distrib all data","n3djgjwu","0.9592326139088728","0.9544364508393284","0.9295774647887324","0.890625","0.978494623655914","0.8","0","true","deutsche-telekom/gbert-large-paraphrase-euclidean","256","8","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.9366197183098592","0.943661971830986","0.9375","0.9375","0.989247311827957","0.989247311827957","0.84","0.88"
"feasible-sweep-24","finished","0.9710843373493976","0.9304556354916068","in distrib all data","u3uwocgb","0.9664268585131894","0.9592326139088728","0.9295774647887324","0.875","0.978494623655914","0.72","0","false","deutsche-telekom/gbert-large-paraphrase-euclidean","256","10","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.943661971830986","0.943661971830986","0.953125","0.953125","0.989247311827957","0.9946236559139784","0.84","0.92"
"jolly-sweep-10","finished","0.9710843373493976","0.9280575539568344","in distrib all data","mjl1ofdf","0.9640287769784172","0.9520383693045564","0.9225352112676056","0.90625","0.978494623655914","0.64","0","false","T-Systems-onsite/cross-en-de-roberta-sentence-transformer","128","12","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.9507042253521126","0.9577464788732394","0.9375","0.953125","0.9838709677419356","0.9946236559139784","0.76","0.8"
"jumping-sweep-36","finished","0.9710843373493976","0.9184652278177458","in distrib all data","yfoxxx1c","0.9640287769784172","0.9592326139088728","0.9225352112676056","0.84375","0.9623655913978496","0.76","0","false","aari1995/German_Semantic_STS_V2","128","12","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.9577464788732394","0.9577464788732394","0.921875","0.953125","0.9838709677419356","0.9838709677419356","0.88","0.88"
"graceful-sweep-19","finished","0.9566265060240964","0.9160671462829736","in distrib all data","1vdcjh48","0.9592326139088728","0.947242206235012","0.908450704225352","0.84375","0.989247311827957","0.6","0","true","T-Systems-onsite/german-roberta-sentence-transformer-v2","256","8","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.9577464788732394","0.9647887323943662","0.875","0.921875","0.989247311827957","0.9946236559139784","0.76","0.76"
"exalted-sweep-13","finished","0.927710843373494","0.9160671462829736","in distribution all data additional runs","ru8lyf3q","0.9448441247002398","0.9424460431654677","0.9154929577464788","0.84375","0.967741935483871","0.72","2","true","aari1995/German_Semantic_STS_V2","256","10","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.9366197183098592","0.9366197183098592","0.90625","0.921875","0.978494623655914","0.978494623655914","0.8","0.8"
"treasured-sweep-40","finished","0.9710843373493976","0.9112709832134293","in distrib all data","kjl2hd76","0.9520383693045564","0.9448441247002398","0.9154929577464788","0.859375","0.9623655913978496","0.64","0","false","deutsche-telekom/gbert-large-paraphrase-euclidean","256","10","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.943661971830986","0.943661971830986","0.890625","0.921875","0.978494623655914","0.978494623655914","0.84","0.88"
"gallant-sweep-32","finished","0.9566265060240964","0.9088729016786572","in distrib all data","s13zonkh","0.9616306954436452","0.9568345323741008","0.9295774647887324","0.796875","0.978494623655914","0.56","0","true","T-Systems-onsite/german-roberta-sentence-transformer-v2","128","8","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.9577464788732394","0.9647887323943662","0.953125","0.953125","0.989247311827957","0.989247311827957","0.72","0.76"
"wobbly-sweep-14","finished","0.9518072289156626","0.9040767386091128","in distribution all data additional runs","ih7ugi0a","0.9520383693045564","0.9448441247002398","0.908450704225352","0.8125","0.956989247311828","0.72","2","true","aari1995/German_Semantic_STS_V2","256","10","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.9366197183098592","0.943661971830986","0.90625","0.9375","0.978494623655914","0.978494623655914","0.84","0.84"
"absurd-sweep-9","finished","0.9493975903614458","0.8968824940047961","in distrib all data","8l8b3jag","0.9520383693045564","0.947242206235012","0.9295774647887324","0.828125","0.9301075268817204","0.64","2","true","aari1995/German_Semantic_STS_V2","256","8","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.9507042253521126","0.9577464788732394","0.953125","0.96875","0.978494623655914","0.978494623655914","0.68","0.68"
"silver-sweep-4","finished","0.927710843373494","0.8968824940047961","in distribution all data additional runs","5u2dumx4","0.9400479616306956","0.9232613908872902","0.9014084507042254","0.796875","0.9516129032258064","0.72","1","true","aari1995/German_Semantic_STS_V2","256","10","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.9154929577464788","0.943661971830986","0.859375","0.875","0.9731182795698924","0.9731182795698924","0.76","0.84"
"visionary-sweep-15","finished","0.9373493975903614","0.8968824940047961","in distrib all data","whynh5tz","0.9520383693045564","0.9448441247002398","0.9225352112676056","0.8125","0.946236559139785","0.6","2","true","aari1995/German_Semantic_STS_V2","256","12","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.9507042253521126","0.9507042253521126","0.921875","0.953125","0.9731182795698924","0.978494623655914","0.76","0.76"
"likely-sweep-29","finished","0.9228915662650602","0.8920863309352518","in distribution all data additional runs","pp65ca8r","0.9376498800959232","0.9280575539568344","0.9154929577464788","0.796875","0.9247311827956988","0.76","1","false","aari1995/German_Semantic_STS_V2","256","10","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.943661971830986","0.9577464788732394","0.890625","0.90625","0.946236559139785","0.9516129032258064","0.8","0.8"
"sweepy-sweep-25","finished","0.9180722891566264","0.8848920863309353","in distrib all data","arsczn4h","0.9496402877697842","0.9424460431654677","0.9014084507042254","0.78125","0.9301075268817204","0.72","1","true","deutsche-telekom/gbert-large-paraphrase-euclidean","128","12","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.9507042253521126","0.9507042253521126","0.90625","0.90625","0.9731182795698924","0.978494623655914","0.76","0.84"
"gallant-sweep-23","finished","0.9542168674698795","0.8848920863309353","in distrib all data","xxbw9mtr","0.9280575539568344","0.9136690647482014","0.8943661971830986","0.765625","0.956989247311828","0.6","0","true","aari1995/German_Semantic_STS_V2","256","10","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.9154929577464788","0.9225352112676056","0.828125","0.890625","0.9623655913978496","0.967741935483871","0.76","0.76"
"swept-sweep-8","finished","0.946987951807229","0.882494004796163","in distribution all data additional runs","xac4xj8p","0.947242206235012","0.935251798561151","0.9154929577464788","0.75","0.9408602150537636","0.6","2","true","aari1995/German_Semantic_STS_V2","256","10","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.943661971830986","0.9577464788732394","0.890625","0.921875","0.967741935483871","0.9731182795698924","0.76","0.76"
"neat-sweep-16","finished","0.9204819277108434","0.8800959232613909","in distribution all data additional runs","iki6evek","0.9376498800959232","0.9328537170263788","0.908450704225352","0.8125","0.9247311827956988","0.56","2","true","deutsche-telekom/gbert-large-paraphrase-euclidean","256","10","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.9366197183098592","0.9366197183098592","0.875","0.90625","0.967741935483871","0.967741935483871","0.8","0.8"
"wobbly-sweep-23","finished","0.8939759036144578","0.8800959232613909","in distribution all data additional runs","tb1jbfdt","0.9328537170263788","0.9232613908872902","0.9014084507042254","0.8125","0.9086021505376344","0.72","3","true","deutsche-telekom/gbert-large-paraphrase-euclidean","256","10","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.943661971830986","0.9507042253521126","0.90625","0.9375","0.9301075268817204","0.935483870967742","0.8","0.8"
"daily-sweep-5","finished","0.927710843373494","0.8776978417266187","in distribution all data additional runs","5jirknob","0.9544364508393284","0.9376498800959232","0.9154929577464788","0.734375","0.935483870967742","0.6","1","true","deutsche-telekom/gbert-large-paraphrase-euclidean","256","10","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.9507042253521126","0.9647887323943662","0.859375","0.890625","0.978494623655914","0.9838709677419356","0.76","0.84"
"crisp-sweep-12","finished","0.9421686746987952","0.8752997601918465","in distribution all data additional runs","ej2c1plm","0.9376498800959232","0.920863309352518","0.9014084507042254","0.78125","0.9408602150537636","0.48","2","true","deutsche-telekom/gbert-large-paraphrase-euclidean","256","10","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.9366197183098592","0.9507042253521126","0.890625","0.921875","0.956989247311828","0.9623655913978496","0.64","0.72"
"wandering-sweep-27","finished","0.908433734939759","0.8729016786570744","in distribution all data additional runs","nkixqm6b","0.9400479616306956","0.9232613908872902","0.8732394366197183","0.828125","0.9193548387096774","0.64","1","false","deutsche-telekom/gbert-large-paraphrase-euclidean","256","10","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.908450704225352","0.9295774647887324","0.890625","0.921875","0.978494623655914","0.9838709677419356","0.68","0.72"
"unique-sweep-1","finished","0.9397590361445785","0.8729016786570744","in distribution all data additional runs","qf4lrla2","0.9376498800959232","0.9280575539568344","0.8873239436619719","0.796875","0.9247311827956988","0.6","1","true","aari1995/German_Semantic_STS_V2","256","10","0.1","corpus_dataset_v2","dataset_split_in_distribution","0.943661971830986","0.9507042253521126","0.875","0.90625","0.9623655913978496","0.967741935483871","0.72","0.72"
"eager-sweep-33","finished","0.9204819277108434","0.8705035971223022","in distrib all data","bg6ks35w","0.9424460431654677","0.9256594724220624","0.8591549295774648","0.78125","0.9408602150537636","0.64","1","true","aari1995/German_Semantic_STS_V2","128","12","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.9295774647887324","0.9507042253521126","0.875","0.90625","0.978494623655914","0.978494623655914","0.64","0.72"
"grateful-sweep-35","finished","0.9325301204819276","0.86810551558753","in distrib all data","xi4ttii1","0.9304556354916068","0.9184652278177458","0.8661971830985915","0.765625","0.946236559139785","0.56","1","true","aari1995/German_Semantic_STS_V2","128","8","0.15","corpus_dataset_v2","dataset_split_in_distribution","0.9154929577464788","0.9225352112676056","0.875","0.90625","0.9731182795698924","0.9731182795698924","0.64","0.72"
