,topic,node_level,accuracy_at_1,num_queries,correct_predictions,model
0,MEDAI,main,0.9901960784313726,204,202,GBERT_LARGE_1
1,MEDAI,counter,0.9642857142857144,28,27,GBERT_LARGE_1
2,JURAI,counter,0.9090909090909092,22,20,GBERT_LARGE_1
3,JURAI,main,1.0,27,27,GBERT_LARGE_1
4,AUTOAI,counter,0.953125,64,61,GBERT_LARGE_1
5,AUTOAI,main,0.9863013698630136,73,72,GBERT_LARGE_1
6,REFAI,main,0.9090909090909092,11,10,GBERT_LARGE_1
7,REFAI,counter,1.0,1,1,GBERT_LARGE_1
8,MEDAI,main,0.9852941176470588,204,201,GBERT_LARGE_2
9,MEDAI,counter,0.9285714285714286,28,26,GBERT_LARGE_2
10,JURAI,counter,0.9545454545454546,22,21,GBERT_LARGE_2
11,JURAI,main,1.0,27,27,GBERT_LARGE_2
12,AUTOAI,counter,0.96875,64,62,GBERT_LARGE_2
13,AUTOAI,main,0.9315068493150684,73,68,GBERT_LARGE_2
14,REFAI,main,0.9090909090909092,11,10,GBERT_LARGE_2
15,REFAI,counter,0.0,1,0,GBERT_LARGE_2
16,MEDAI,main,0.9901960784313726,204,202,GBERT_LARGE_3
17,MEDAI,counter,0.9642857142857144,28,27,GBERT_LARGE_3
18,JURAI,counter,0.9545454545454546,22,21,GBERT_LARGE_3
19,JURAI,main,1.0,27,27,GBERT_LARGE_3
20,AUTOAI,counter,0.9375,64,60,GBERT_LARGE_3
21,AUTOAI,main,0.9726027397260274,73,71,GBERT_LARGE_3
22,REFAI,main,0.9090909090909092,11,10,GBERT_LARGE_3
23,REFAI,counter,0.0,1,0,GBERT_LARGE_3
24,MEDAI,main,0.9754901960784312,204,199,ROBERTA_V2
25,MEDAI,counter,0.9642857142857144,28,27,ROBERTA_V2
26,JURAI,counter,0.9090909090909092,22,20,ROBERTA_V2
27,JURAI,main,0.9629629629629628,27,26,ROBERTA_V2
28,AUTOAI,counter,0.984375,64,63,ROBERTA_V2
29,AUTOAI,main,0.9863013698630136,73,72,ROBERTA_V2
30,REFAI,main,0.9090909090909092,11,10,ROBERTA_V2
31,REFAI,counter,0.0,1,0,ROBERTA_V2
32,MEDAI,main,0.9705882352941176,204,198,STS_V2
33,MEDAI,counter,0.9285714285714286,28,26,STS_V2
34,JURAI,counter,0.9545454545454546,22,21,STS_V2
35,JURAI,main,0.9629629629629628,27,26,STS_V2
36,AUTOAI,counter,0.9375,64,60,STS_V2
37,AUTOAI,main,0.9315068493150684,73,68,STS_V2
38,REFAI,main,0.5454545454545454,11,6,STS_V2
39,REFAI,counter,1.0,1,1,STS_V2
