,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
0,FAQ.1,FAQ,,,,,"([Unterstützung, unterstützend, unterstützen]; 2)",warum /geht es hier nicht um eine die Schiedsrichter:innen unterstützende KI?,Warum geht es hier nicht um eine die Schiedsrichter:innen unterstützende KI?,Warum geht es hier nicht um eine die Schiedsrichter:innen unterstützende KI?,FAQ.G1,0,
1,FAQ.1-1,FAQ,,FAQ.1,,,,KI-Unterstützung /ist aus ethischer Sicht relativ unproblematisch,KI-Unterstützung ist aus ethischer Sicht relativ unproblematisch,"In diesem Szenario geht es um eine KI, die die Hauptverantwortung für Schiedsrichter-Entscheidungen bei Profi-Fußballspielen übernimmt. Die KI trifft Entscheidungen basierend auf Echtzeit-Videoanalysen und wird umfangreich mit Videos früherer Spiele trainiert. Der menschliche Schiedsrichter auf dem Platz hat die Aufgabe, die Entscheidungen der KI an die Spieler und das Publikum zu kommunizieren. Dies unterscheidet sich von einer unterstützenden KI, bei der die menschlichen Schiedsrichter:innen weiterhin die Hauptverantwortung für Entscheidungen tragen und die KI lediglich als zusätzliches Hilfsmittel dient.",FAQ.G1,,
2,FAQ.2,FAQ,,,,,"([Wissensquelle]; 5), ([woher, Quelle, Ursprung], [Wissen, Performanz, Performance, Algorithmus, Logik]; 3), ([KI, medKI, AI, Intelligenz], [woher, Quelle, Ursprung], [Wissen, Performanz, Performance, Algorithmus, Logik]; 5)",woher /bezieht die KI ihr Wissen?,Woher bezieht die KI ihr Wissen?,Woher bezieht die SchiriKI ihr Wissen?,FAQ.G1,0,
3,FAQ.2-1,FAQ,,FAQ.2,,,,die KI /ist auch ein regelbasiertes System,Die KI ist auch ein regelbasiertes System,"DieSchiriKI bezieht ihr Wissen aus einer umfangreichen Sammlung von Videoaufnahmen vergangener Fußballspiele. Diese Videos werden zur Analyse und zum Trainieren der KI verwendet, um ein Verständnis für die Regeln, Spielzüge und typischen Entscheidungssituationen im Profifußball zu entwickeln. Zusätzlich wird die KI kontinuierlich mit aktuellen Spielen und Regeländerungen aktualisiert, um stets auf dem neuesten Stand der Fußballregeln und -praktiken zu bleiben.",FAQ.G1,,
4,FAQ.3,FAQ,,,,Welchen Standpunkt vertritt der Bot?,"Standpunkt, Chatbot, Bot, ([Bot, Chatbot, Chat, du, deine, Sie, Ihre, ihr, eure, euere], [Haltung, Standpunkt, Meinung, Einstellung]; 5)",welchen Standpunkt /vertritt dieser Chatbot?,Welchen Standpunkt vertritt dieser Chatbot?,Welchen Standpunkt vertritt dieser Chatbot?,FAQ.G1,0,
5,FAQ.3-1,FAQ,,FAQ.3,,Chatbot ist informierend gedacht,,der Chatbot /vertritt die Gegenposition zu deiner Meinung.,der Chatbot vertritt die Gegenposition zu deiner Meinung.,"Das Ziel des Bots ist es durch eine natürliche Diskussion informierend zu wirken. Er vertritt den Standpunkt, der entgegen deiner anfänglichen Meinung ist, um dir so die andere Seite aufzuzeigen.",FAQ.G1,,
6,FAQ.4,FAQ,,,,,,wie sicher /sind die Entscheidungen der KI.,wie sicher sind die Entscheidungen der KI.,Wie sicher sind die Entscheidungen der KI?,FAQ.G1,0,
7,FAQ.4-1,FAQ,,FAQ.4,,,,,,"Die KI ist darauf trainiert, präzise und konsistente Entscheidungen zu treffen, wobei sie Fehler minimiert und menschliche Unparteilichkeit eliminiert.",FAQ.G1,,
8,FAQ.5,FAQ,,,,,,ob die KI auf unverhergesehene Situationen reagieren /kann,Kann die KI auf unvorhergesehene Situationen reagieren?,Kann die KI auf unvorhergesehene Situationen reagieren?,FAQ.G1,0,
9,FAQ.5-1,FAQ,,FAQ.5,,,,,,"Die KI kann auf viele Situationen reagieren, da sie aus einer Vielzahl von Spielsituationen lernt. Bei sehr ungewöhnlichen Ereignissen kann der menschliche Schiedsrichter eingreifen.",FAQ.G1,,
10,FAQ.6,FAQ,,,,,,ob menschliche Schiedsrichter durch die KI ersetzt /werden,Werden menschliche Schiedsrichter durch KI ersetzt?,Werden menschliche Schiedsrichter:innen durch die KI ersetzt?,FAQ.G1,0,
11,FAQ.6-1,FAQ,,FAQ.6,,,,,,"Menschliche Schiedsrichter:innen sind weiterhin präsent, um die Entscheidungen der KI zu kommunizieren und bei unvorhergesehenen Ereignissen einzugreifen.",FAQ.G1,,
12,FAQ.7,FAQ,,,,,,wie sich die KI auf das Tempo des Spiels /auswirkt,Wie wirkt sich die  die KI auf das Tempo des Spiels aus?,Wie wirkt sich die KI auf das Tempo des Spiels aus?,FAQ.G1,0,
13,FAQ.7-1,FAQ,,FAQ.7,,,,,,"Die KI kann schnelle Entscheidungen treffen und minimiert so Spielunterbrechungen, wodurch das Spieltempo insgesamt flüssiger und dynamischer gestaltet wird.",FAQ.G1,,
14,FAQ.8,FAQ,,,,,,ob es bedenken bezüglich der Privatsphäre der Spieler:innen /gibt,Gibt es bedenken bezüglich der Privatssphäre der Spieler:innen?,Gibt es Bedenken bezüglich der Privatsphäre der Spieler:innen?,FAQ.G1,0,
15,FAQ.8-1,FAQ,,FAQ.8,,,,,,Die KI analysiert nur Spielszenen und trifft Entscheidungen basierend auf dem Geschehen auf dem Platz. Sie erhebt keine persönlichen Informationen über die Spieler.,FAQ.G1,,
16,,,KI Ergebnisse Niveau Mensch,"([Ergebnisse, Resultate, Diagnose, diagnostizieren, Entscheidungen, Performance, Performanz, perform*], [wie, besser, genauso, gleich, selbe], [Arzt, Facharzt, Mensch, Experte]; 5)",wie /kann KI so gute Ergebnisse liefern wie Expert:innen?,Wie kann KI so gute Ergebnisse liefern wie Expert:innen?,Wie leistungsfähig ist derzeit die medKI und kann sie so gut werden wie Ärzt:innen?,83,FAQ.G1,0,,,
17,,,Ergebnisse Voraussetzung Szenario,,"unser Szenario setzt voraus, dass KI es kann","Unser Szenario setzt voraus, dass es so ist.","Diese Frage wird sich erst in der Zukunft vollständig beantworten lassen. In Teilgebieten wie der Analyse von Bildern ist es bereits heute Realität. Wir gehen in diesem Szenario aber davon aus, dass es so ist und wollen die entstehenden ethischen Fragen diskutieren.",266,FAQ.G1,,,,
