,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
0,intro_1,,,,,,,,Das verstehe ich.,Das verstehe ich.,understand,,
1,intro_2,,,,,,,,Das ist möglich.,Das ist möglich.,understand,,
2,intro_3,,,,,,,,Das mag sein.,Das mag sein.,understand,,
3,intro_4,,,,,,,,Dem würde ich zustimmen.,Dem würde ich zustimmen.,agree,,
4,intro_5,,,,,,,,Ich denke damit liegst du richtig.,Ich denke damit liegst du richtig.,agree,,
5,intro_6,,,,,,,,Da gebe ich dir recht.,Da gebe ich dir recht.,agree,,
6,intro_7,,,,,,,,Das ist eher unwahrscheinlich.,Das ist eher unwahrscheinlich.,disagree,,
7,intro_8,,,,,,,,Dem würde ich eher nicht zustimmen.,Dem würde ich eher nicht zustimmen.,disagree,,
8,intro_9,,,,,,,,Da bin ich anderer Meinung.,Da bin ich anderer Meinung.,disagree,,
9,intro_10,,,,,,,,Ich denke damit liegst du nicht richtig.,Ich denke damit liegst du nicht richtig.,disagree,,
10,intro_11,,,,,,,,Dies kann man auch anders sehen.,Dies kann man auch anders sehen.,disagree,,
11,intro_12,,,,,,,,Dies sollte verhindert werden.,Dies sollte verhindert werden.,miscellaneous,,
12,intro_13,,,,,,,,Das ist falsch.,Das ist falsch.,miscellaneous,,
13,intro_14,,,,,,,,Was sagst du dazu?,Was sagst du dazu?,miscellaneous,,
14,intro_15,,,,,,,,Das ist eine gute Idee.,Das ist eine gute Idee.,miscellaneous,,
15,intro_16,,,,,,,,Da du es gerade ansprichst:,Da du es gerade ansprichst:,miscellaneous,,
16,intro_17,,,,,,,,Das ist problematisch.,Das ist problematisch.,miscellaneous,,
17,intro_18,,,,,,,,"Das sind gute Argumente, lass mich zuerst nur auf eins davon eingehen.","Das sind gute Argumente, lass mich zuerst nur auf eins davon eingehen.",miscellaneous,,
18,intro_19,,,,,,,,Vielen Dank für das Gespräch!,Vielen Dank für das Gespräch!,miscellaneous,,
19,intro_20,,,,,,,,Du sprichst hier mehrere Argumente auf einmal an; lass sie uns nacheinander besprechen.,Du sprichst hier mehrere Argumente auf einmal an; lass sie uns nacheinander besprechen.,miscellaneous,,
20,intro_21,,,,,,,,Ja,Ja.,miscellaneous,,
21,intro_22,,,,,,,,Nein,Nein.,miscellaneous,,
22,intro_23,,,,,,,,"Du meinst also, dass + [Paraphrase]","Du meinst also, dass",paraphrase,1,
23,intro_24,,,,,,,,"Kurz zusammengefasst, + [Paraphrase]","Kurz zusammengefasst,",paraphrase,0,
24,intro_25,,,,,,,,"Dein Argument ist, dass + [Paraphrase]","Dein Argument ist, dass",paraphrase,1,
25,intro_26,,,,,,,,"Du argumentierst, dass + [Paraphrase]","Du argumentierst, dass",paraphrase,1,
26,intro_27,,,,,,,,"Du sagst, dass + [Paraphrase]","Du sagst, dass",paraphrase,1,
27,intro_28,,,,,,,,"Du merkst an, dass + [Paraphrase]","Du merkst an, dass",paraphrase,1,
28,intro_29,,,,,,,,"Dein Einwand ist, dass + [Paraphrase]","Dein Einwand ist, dass",paraphrase_neg,1,
29,intro_30,,,,,,,,"Du wendest ein, dass + [Paraphrase]","Du wendest ein, dass",paraphrase_neg,1,
30,intro_31,,,,,,,,"Du gibts zu bedenken, dass + [Paraphrase]","Du gibts zu bedenken, dass",paraphrase_neg,1,
31,intro_32,,,,,,,,Mit anderen Worten + [Paraphrase],"Mit anderen Worten,",paraphrase,0,
32,intro_33,,,,,,,,"Du sprichst hier mehrere Argumente an. Ich möchte zunächst darauf eingehen, dass du sagst, dass + [Paraphrase]","Du sprichst hier mehrere Argumente an. Ich möchte zunächst darauf eingehen, dass du sagst, dass",paraphrase_multiple_args,1,
33,intro_34,,,,,,,,"Unter anderem sprichst du an, dass + [Paraphrase]","Unter anderem sprichst du an, dass",paraphrase_multiple_args,1,
34,intro_35,,,,,,,,"Etwas allgemeiner gesagt, bist du der Meinung, dass + [Paraphrase]","Etwas allgemeiner gesagt, bist du der Meinung, dass",paraphrase_group,1,
