,label,num queries
1,Z.P11,132
29,Z.C3,55
6,Z.P12,55
4,Z.P8-1-2,50
11,Z.C11,36
17,Z.P2,33
9,Z.P8,32
0,Z.C5-3,26
2,Z.P8-1,26
40,Z.C6,25
28,Z.P1,24
24,Z.C2-1,19
27,Z.C11-1,18
30,NZ.K10,17
22,Z.P6,16
38,Z.C4,16
7,Z.C8-1,15
8,Z.P2-1,14
48,Z.C7,14
26,Z.C5-2,14
21,Z.P10-1-1,14
34,Z.P10,12
41,Z.P11-1-1,12
10,Z.P12-1-3,12
13,Z.P9,12
3,Z.C3-2,12
5,Z.C5,11
15,Z.P10-1,11
12,Z.P1-1,10
36,Z.P4-1,10
32,Z.C4-1-2,10
43,Z.P5,9
51,Z.P11-1,9
25,Z.C4-1,9
39,Z.C10,9
45,Z.P8-1-1,8
37,Z.P6-1,8
23,Z.C10-1,8
42,Z.P12-2,7
55,Z.C5-1-1-1,7
46,Z.P12-1,6
53,Z.C3-1,6
35,Z.C5-1,6
14,Z.C6-3-1,6
18,Z.C12,6
49,Z.P9-1,5
50,Z.P14,5
19,Z.P4,4
54,FAQ.3,4
20,Z.P12-1-2,4
31,Z.C5-1-1-1-1,4
47,Z.P15,3
52,Z.C8,3
61,Z.C6-2,3
33,Z.C13-1,3
63,Z.P7-1,3
16,Z.P10-2,2
44,Z.C7-1,2
67,Z.C13,2
57,Z.P7,2
66,Z.C6-2-1,2
59,Z.P10-2-1,2
60,Z.P8-1-2-1,2
64,Z.C14,2
65,Z.C6-3,1
62,Z.C5-1-1,1
58,Z.C9,1
56,Z.P3,1
75,Z.C2,0
81,Z.C9-2,0
80,Z.P15-1,0
79,Z.P13,0
78,Z.C2-1-1,0
77,Z.C4-1-1,0
76,Z.C5-1-1-2,0
74,FAQ.1,0
73,FAQ.2,0
72,Z.P9-1-1,0
71,Z.C9-1,0
70,Z.P12-1-1,0
69,Z.P5-1,0
68,Z.C12-1,0
82,Z.C10-1-1,0
