,scenario,label,split,count
0,MEDAI,Z.K1,train,109
1,MEDAI,Z.P3,train,12
2,MEDAI,Z.P4-1,train,16
3,MEDAI,Z.K2,train,66
4,MEDAI,Z.K6,train,40
5,MEDAI,Z.K7,train,77
6,MEDAI,Z.P4,train,14
7,MEDAI,Z.P5,train,20
8,MEDAI,NZ.K10,train,143
9,MEDAI,Z.K15,train,37
10,MEDAI,Z.P1-1,train,22
11,MEDAI,Z.K10,train,36
12,MEDAI,Z.P3-1,train,5
13,MEDAI,Z.P6,train,42
14,MEDAI,Z.P2,train,24
15,MEDAI,Z.K4,train,4
16,MEDAI,Z.K8,train,23
17,MEDAI,Z.K14,train,45
18,MEDAI,Z.K9,train,19
19,MEDAI,NZ.K9,train,11
20,MEDAI,Z.K5,train,3
21,MEDAI,Z.K3,train,39
22,MEDAI,FAQ.2,train,9
23,MEDAI,Z.K3-1,train,6
24,MEDAI,Z.K1-1,train,7
25,MEDAI,Z.K10-2,train,2
26,MEDAI,Z.K14-1,train,3
27,MEDAI,Z.K15-1,train,19
28,MEDAI,FAQ.3,train,11
29,MEDAI,Z.P1,train,35
30,MEDAI,Z.K16,train,9
31,MEDAI,FAQ.7,train,12
32,MEDAI,Z.K4-1,train,7
33,MEDAI,Z.P1-1-1,train,7
34,MEDAI,Z.K7-1,train,9
35,MEDAI,Z.K5-1,train,3
36,MEDAI,Z.K18,train,22
37,MEDAI,Z.K19,train,18
38,MEDAI,FAQ.5,train,1
39,MEDAI,Z.K13,train,8
40,MEDAI,Z.K18-1,train,3
41,MEDAI,Z.K12,train,1
42,MEDAI,FAQ.8,train,1
43,MEDAI,NZ.K3,train,5
44,MEDAI,NZ.K8,train,6
45,MEDAI,Z.P3-1-1,train,5
46,MEDAI,Z.P7,train,2
47,MEDAI,Z.P5-1,train,3
48,MEDAI,NZ.K4,train,1
49,MEDAI,Z.P6-1-1,train,1
50,MEDAI,Z.K8-1,train,4
51,MEDAI,FAQ.1,train,2
52,MEDAI,Z.K11,train,6
53,MEDAI,NZ.K1,train,1
54,MEDAI,NZ.K6,train,4
55,MEDAI,Z.K10-1,train,1
56,MEDAI,Z.P7-1,train,7
57,MEDAI,Z.K3-1-1,train,1
58,MEDAI,Z.K9-1,train,1
59,MEDAI,Z.K20,train,1
60,MEDAI,NZ.K11,train,4
61,MEDAI,Z.K8-2,train,1
62,MEDAI,Z.P3-2,train,5
63,MEDAI,Z.P6-1,train,2
64,MEDAI,FAQ.6,train,1
65,MEDAI,Z.K13-1,train,1
66,MEDAI,Z.K6-1,train,1
67,MEDAI,Z.K16-1,train,2
68,MEDAI,Z.K2-4,train,1
69,MEDAI,Z.K1-2,train,1
70,MEDAI,NZ.P1,train,1
71,MEDAI,Z.K12-1,train,1
72,JURAI,Z.K2,train,14
73,JURAI,Z.K4,train,7
74,JURAI,Z.P4-1,train,13
75,JURAI,Z.K5,train,3
76,JURAI,Z.K6-1-1,train,5
77,JURAI,Z.P1,train,21
78,JURAI,Z.P3-1-1,train,3
79,JURAI,Z.P4,train,6
80,JURAI,Z.K6-1,train,2
81,JURAI,Z.P3,train,9
82,JURAI,Z.K2-1-2-1,train,1
83,JURAI,Z.P2,train,15
84,JURAI,Z.K4-1,train,2
85,JURAI,Z.P1-1,train,30
86,JURAI,Z.P1-2,train,8
87,JURAI,Z.K6,train,9
88,JURAI,Z.K14,train,13
89,JURAI,Z.P8,train,12
90,JURAI,NZ.K10,train,10
91,JURAI,Z.K6-1-1-1,train,3
92,JURAI,Z.K10-1,train,3
93,JURAI,Z.P3-1,train,1
94,JURAI,FAQ.6,train,1
95,JURAI,Z.K3,train,3
96,JURAI,Z.P2-2,train,1
97,JURAI,FAQ.1,train,1
98,JURAI,Z.K11-1,train,1
99,JURAI,NZ.K2,train,1
100,JURAI,Z.K9-1,train,1
101,JURAI,Z.P8-2,train,3
102,JURAI,Z.K9,train,3
103,JURAI,Z.K3-2,train,2
104,JURAI,Z.P3-1-2,train,1
105,JURAI,Z.P5-1,train,1
106,JURAI,Z.P1-1-1,train,2
107,JURAI,Z.P2-1,train,1
108,JURAI,FAQ.5,train,1
109,JURAI,Z.K11,train,1
110,JURAI,Z.K7,train,1
111,JURAI,Z.K16,train,2
112,JURAI,FAQ.4,train,1
113,JURAI,Z.K6-2,train,2
114,JURAI,Z.P5,train,1
115,JURAI,Z.K3-1,train,1
116,JURAI,Z.K12,train,1
117,JURAI,Z.K15,train,1
118,JURAI,Z.K10,train,2
119,JURAI,Z.K7-2,train,1
120,JURAI,Z.K2-1,train,1
121,AUTOAI,Z.C5-3,train,19
122,AUTOAI,Z.P11,train,99
123,AUTOAI,Z.P8-1,train,22
124,AUTOAI,Z.C3-2,train,7
125,AUTOAI,Z.P8-1-2,train,37
126,AUTOAI,Z.C5,train,9
127,AUTOAI,Z.P12,train,44
128,AUTOAI,Z.C8-1,train,11
129,AUTOAI,Z.P2-1,train,10
130,AUTOAI,Z.P8,train,26
131,AUTOAI,Z.C11,train,29
132,AUTOAI,Z.P1-1,train,9
133,AUTOAI,Z.P9,train,7
134,AUTOAI,Z.C6-3-1,train,5
135,AUTOAI,Z.P10-2,train,1
136,AUTOAI,Z.P2,train,29
137,AUTOAI,Z.C12,train,3
138,AUTOAI,Z.P4,train,2
139,AUTOAI,Z.P10-1-1,train,9
140,AUTOAI,Z.P6,train,12
141,AUTOAI,Z.P12-1-3,train,7
142,AUTOAI,Z.P12-1-2,train,3
143,AUTOAI,Z.C10-1,train,6
144,AUTOAI,Z.C2-1,train,12
145,AUTOAI,Z.C4-1,train,6
146,AUTOAI,Z.C11-1,train,14
147,AUTOAI,Z.C5-2,train,9
148,AUTOAI,Z.P1,train,19
149,AUTOAI,Z.C3,train,39
150,AUTOAI,Z.C5-1-1-1-1,train,2
151,AUTOAI,Z.C5-1,train,4
152,AUTOAI,Z.P10-1,train,8
153,AUTOAI,Z.P4-1,train,4
