"Name","State","Hostname","eval/cosine_accuracy@1","test_cosine_accuracy@1","Agent","ID","Created","num_epochs","learning_rate","batch_size","context_length","add_discussion_scenario_info","model_name","warmup_ratio","test_cosine_AUTOAI_accuracy@1","test_cosine_JURAI_accuracy@1","test_cosine_MEDAI_accuracy@1","test_cosine_REFAI_accuracy@1","test_cosine_accuracy@5","test_cosine_accuracy@3","test_cosine_AUTOAI_accuracy@3","test_cosine_AUTOAI_accuracy@5","test_cosine_JURAI_accuracy@3","test_cosine_JURAI_accuracy@5","test_cosine_MEDAI_accuracy@3","test_cosine_MEDAI_accuracy@5","test_cosine_REFAI_accuracy@3","test_cosine_REFAI_accuracy@5"
"electric-sweep-38","finished","gpu1c","0.980722891566265","0.9400479616306956","","f37li40u","2025-04-13T05:03:46.000Z","10","0.00003","256","0","false","aari1995/German_Semantic_STS_V2","0.15","0.943661971830986","0.890625","0.978494623655914","0.76","0.9808153477218226","0.9760191846522782","0.971830985915493","0.9788732394366196","0.984375","0.984375","0.9838709677419356","0.989247311827957","0.92","0.92"
"fragrant-sweep-16","finished","gpu1b","0.980722891566265","0.9376498800959232","","n3djgjwu","2025-04-09T16:03:54.000Z","8","0.00002","256","0","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.9295774647887324","0.890625","0.978494623655914","0.8","0.9592326139088728","0.9544364508393284","0.9366197183098592","0.943661971830986","0.9375","0.9375","0.989247311827957","0.989247311827957","0.84","0.88"
"feasible-sweep-24","finished","gpu1a","0.9710843373493976","0.9304556354916068","","u3uwocgb","2025-04-11T00:20:17.000Z","10","0.00002","256","0","false","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.9295774647887324","0.875","0.978494623655914","0.72","0.9664268585131894","0.9592326139088728","0.943661971830986","0.943661971830986","0.953125","0.953125","0.989247311827957","0.9946236559139784","0.84","0.92"
"jolly-sweep-10","finished","gpu1c","0.9710843373493976","0.9280575539568344","","mjl1ofdf","2025-04-09T00:30:33.000Z","12","0.00002","128","0","false","T-Systems-onsite/cross-en-de-roberta-sentence-transformer","0.15","0.9225352112676056","0.90625","0.978494623655914","0.64","0.9640287769784172","0.9520383693045564","0.9507042253521126","0.9577464788732394","0.9375","0.953125","0.9838709677419356","0.9946236559139784","0.76","0.8"
"jumping-sweep-36","finished","gpu1a","0.9710843373493976","0.9184652278177458","","yfoxxx1c","2025-04-12T16:26:30.000Z","12","0.00002","128","0","false","aari1995/German_Semantic_STS_V2","0.15","0.9225352112676056","0.84375","0.9623655913978496","0.76","0.9640287769784172","0.9592326139088728","0.9577464788732394","0.9577464788732394","0.921875","0.953125","0.9838709677419356","0.9838709677419356","0.88","0.88"
"graceful-sweep-19","finished","gpu1c","0.9566265060240964","0.9160671462829736","","1vdcjh48","2025-04-10T05:05:57.000Z","8","0.00002","256","0","true","T-Systems-onsite/german-roberta-sentence-transformer-v2","0.15","0.908450704225352","0.84375","0.989247311827957","0.6","0.9592326139088728","0.947242206235012","0.9577464788732394","0.9647887323943662","0.875","0.921875","0.989247311827957","0.9946236559139784","0.76","0.76"
"absurd-sweep-9","finished","gpu1b","0.9493975903614458","0.8968824940047961","","8l8b3jag","2025-04-08T19:09:30.000Z","8","0.00003","256","2","true","aari1995/German_Semantic_STS_V2","0.1","0.9295774647887324","0.828125","0.9301075268817204","0.64","0.9520383693045564","0.947242206235012","0.9507042253521126","0.9577464788732394","0.953125","0.96875","0.978494623655914","0.978494623655914","0.68","0.68"
"sweepy-sweep-25","finished","gpu1c","0.9180722891566264","0.8848920863309353","","arsczn4h","2025-04-11T06:17:05.000Z","12","0.00002","128","1","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.9014084507042254","0.78125","0.9301075268817204","0.72","0.9496402877697842","0.9424460431654677","0.9507042253521126","0.9507042253521126","0.90625","0.90625","0.9731182795698924","0.978494623655914","0.76","0.84"
"gallant-sweep-23","finished","gpu1b","0.9542168674698795","0.8848920863309353","","xxbw9mtr","2025-04-10T23:01:08.000Z","10","0.00002","256","0","true","aari1995/German_Semantic_STS_V2","0.1","0.8943661971830986","0.765625","0.956989247311828","0.6","0.9280575539568344","0.9136690647482014","0.9154929577464788","0.9225352112676056","0.828125","0.890625","0.9623655913978496","0.967741935483871","0.76","0.76"
"grateful-sweep-35","finished","gpu1c","0.9325301204819276","0.86810551558753","","xi4ttii1","2025-04-12T14:22:45.000Z","8","0.00003","128","1","true","aari1995/German_Semantic_STS_V2","0.15","0.8661971830985915","0.765625","0.946236559139785","0.56","0.9304556354916068","0.9184652278177458","0.9154929577464788","0.9225352112676056","0.875","0.90625","0.9731182795698924","0.9731182795698924","0.64","0.72"
"usual-sweep-14","finished","gpu8a","0.9180722891566264","0.8633093525179856","","li4qmdeh","2025-04-09T15:07:13.000Z","8","0.00001","128","0","true","T-Systems-onsite/german-roberta-sentence-transformer-v2","0.1","0.8732394366197183","0.75","0.9301075268817204","0.6","0.935251798561151","0.9232613908872902","0.9154929577464788","0.9295774647887324","0.875","0.90625","0.967741935483871","0.9731182795698924","0.76","0.76"
"wobbly-sweep-37","finished","gpu1b","0.8939759036144578","0.8513189448441247","","fyt2jrdc","2025-04-12T23:56:46.000Z","8","0.00003","128","3","true","aari1995/German_Semantic_STS_V2","0.15","0.8802816901408451","0.71875","0.9032258064516128","0.64","0.9280575539568344","0.9184652278177458","0.9295774647887324","0.9366197183098592","0.875","0.90625","0.9516129032258064","0.9516129032258064","0.72","0.76"
"soft-sweep-21","finished","gpu1c","0.9180722891566264","0.8489208633093526","","jjqobnbj","2025-04-10T13:31:00.000Z","12","0.00002","128","2","true","aari1995/German_Semantic_STS_V2","0.15","0.8591549295774648","0.6875","0.9408602150537636","0.52","0.9232613908872902","0.9088729016786572","0.9154929577464788","0.9225352112676056","0.8125","0.859375","0.967741935483871","0.978494623655914","0.68","0.68"
"fine-sweep-12","finished","gpu1c","0.8867469879518072","0.8465227817745803","","hur26ez7","2025-04-09T13:15:23.000Z","10","0.00002","256","2","false","aari1995/German_Semantic_STS_V2","0.15","0.8943661971830986","0.78125","0.8548387096774194","0.68","0.935251798561151","0.920863309352518","0.9225352112676056","0.9366197183098592","0.890625","0.921875","0.9516129032258064","0.956989247311828","0.76","0.8"
"visionary-sweep-18","finished","gpu1d","0.8891566265060241","0.8441247002398081","","zfcaulrd","2025-04-09T21:23:32.000Z","8","0.00003","256","2","false","deutsche-telekom/gbert-large-paraphrase-euclidean","0.15","0.8732394366197183","0.75","0.8978494623655914","0.52","0.9232613908872902","0.9040767386091128","0.9225352112676056","0.9295774647887324","0.859375","0.890625","0.9301075268817204","0.9516129032258064","0.72","0.76"
"fragrant-sweep-17","finished","gpu1a","0.8746987951807229","0.8345323741007195","","mipafdpd","2025-04-09T16:40:06.000Z","8","0.00001","128","3","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.8802816901408451","0.78125","0.8548387096774194","0.56","0.9088729016786572","0.8920863309352518","0.9225352112676056","0.9366197183098592","0.84375","0.859375","0.9032258064516128","0.9247311827956988","0.76","0.76"
"honest-sweep-5","finished","gpu1c","0.8987951807228916","0.8225419664268585","","x2puop5o","2025-04-08T08:40:33.000Z","12","0.00001","128","2","false","aari1995/German_Semantic_STS_V2","0.15","0.8450704225352113","0.734375","0.8548387096774194","0.68","0.8992805755395683","0.8776978417266187","0.8873239436619719","0.9154929577464788","0.828125","0.859375","0.9086021505376344","0.913978494623656","0.72","0.8"
"daily-sweep-18","finished","gpu1b","0.8698795180722891","0.8201438848920863","","1a9gbxoy","2025-04-07T16:17:24.000Z","12","0.00001","128","1","false","aari1995/German_Semantic_STS_V2","0.15","0.8380281690140845","0.796875","0.8387096774193549","0.64","0.9280575539568344","0.8992805755395683","0.9154929577464788","0.9295774647887324","0.875","0.90625","0.9247311827956988","0.9516129032258064","0.68","0.8"
"feasible-sweep-26","finished","gpu1b","0.8746987951807229","0.815347721822542","","ijulipno","2025-04-11T11:33:49.000Z","8","0.00001","256","1","false","aari1995/German_Semantic_STS_V2","0.15","0.8380281690140845","0.71875","0.8655913978494624","0.56","0.8992805755395683","0.882494004796163","0.9014084507042254","0.9014084507042254","0.828125","0.875","0.913978494623656","0.9247311827956988","0.68","0.76"
