"Name","State","Hostname","eval/cosine_accuracy@1","test_cosine_accuracy@1","Agent","ID","Created","num_epochs","learning_rate","batch_size","context_length","add_discussion_scenario_info","model_name","warmup_ratio","test_cosine_AUTOAI_accuracy@1","test_cosine_JURAI_accuracy@1","test_cosine_MEDAI_accuracy@1","test_cosine_REFAI_accuracy@1","test_cosine_accuracy@5","test_cosine_accuracy@3","test_cosine_AUTOAI_accuracy@3","test_cosine_AUTOAI_accuracy@5","test_cosine_JURAI_accuracy@3","test_cosine_JURAI_accuracy@5","test_cosine_MEDAI_accuracy@3","test_cosine_MEDAI_accuracy@5","test_cosine_REFAI_accuracy@3","test_cosine_REFAI_accuracy@5"
"electric-sweep-38","finished","gpu1c","0.980722891566265","0.9400479616306956","","f37li40u","2025-04-13T05:03:46.000Z","10","0.00003","256","0","false","aari1995/German_Semantic_STS_V2","0.15","0.943661971830986","0.890625","0.978494623655914","0.76","0.9808153477218226","0.9760191846522782","0.971830985915493","0.9788732394366196","0.984375","0.984375","0.9838709677419356","0.989247311827957","0.92","0.92"
"fragrant-sweep-16","finished","gpu1b","0.980722891566265","0.9376498800959232","","n3djgjwu","2025-04-09T16:03:54.000Z","8","0.00002","256","0","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.9295774647887324","0.890625","0.978494623655914","0.8","0.9592326139088728","0.9544364508393284","0.9366197183098592","0.943661971830986","0.9375","0.9375","0.989247311827957","0.989247311827957","0.84","0.88"
"feasible-sweep-24","finished","gpu1a","0.9710843373493976","0.9304556354916068","","u3uwocgb","2025-04-11T00:20:17.000Z","10","0.00002","256","0","false","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.9295774647887324","0.875","0.978494623655914","0.72","0.9664268585131894","0.9592326139088728","0.943661971830986","0.943661971830986","0.953125","0.953125","0.989247311827957","0.9946236559139784","0.84","0.92"
"jolly-sweep-10","finished","gpu1c","0.9710843373493976","0.9280575539568344","","mjl1ofdf","2025-04-09T00:30:33.000Z","12","0.00002","128","0","false","T-Systems-onsite/cross-en-de-roberta-sentence-transformer","0.15","0.9225352112676056","0.90625","0.978494623655914","0.64","0.9640287769784172","0.9520383693045564","0.9507042253521126","0.9577464788732394","0.9375","0.953125","0.9838709677419356","0.9946236559139784","0.76","0.8"
"jumping-sweep-36","finished","gpu1a","0.9710843373493976","0.9184652278177458","","yfoxxx1c","2025-04-12T16:26:30.000Z","12","0.00002","128","0","false","aari1995/German_Semantic_STS_V2","0.15","0.9225352112676056","0.84375","0.9623655913978496","0.76","0.9640287769784172","0.9592326139088728","0.9577464788732394","0.9577464788732394","0.921875","0.953125","0.9838709677419356","0.9838709677419356","0.88","0.88"
"graceful-sweep-19","finished","gpu1c","0.9566265060240964","0.9160671462829736","","1vdcjh48","2025-04-10T05:05:57.000Z","8","0.00002","256","0","true","T-Systems-onsite/german-roberta-sentence-transformer-v2","0.15","0.908450704225352","0.84375","0.989247311827957","0.6","0.9592326139088728","0.947242206235012","0.9577464788732394","0.9647887323943662","0.875","0.921875","0.989247311827957","0.9946236559139784","0.76","0.76"
"exalted-sweep-13","finished","gpu1c","0.927710843373494","0.9160671462829736","","ru8lyf3q","2025-04-16T09:21:00.000Z","10","0.00003","256","2","true","aari1995/German_Semantic_STS_V2","0.1","0.9154929577464788","0.84375","0.967741935483871","0.72","0.9448441247002398","0.9424460431654677","0.9366197183098592","0.9366197183098592","0.90625","0.921875","0.978494623655914","0.978494623655914","0.8","0.8"
"treasured-sweep-40","finished","gpu1b","0.9710843373493976","0.9112709832134293","","kjl2hd76","2025-04-13T22:19:29.000Z","10","0.00002","256","0","false","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.9154929577464788","0.859375","0.9623655913978496","0.64","0.9520383693045564","0.9448441247002398","0.943661971830986","0.943661971830986","0.890625","0.921875","0.978494623655914","0.978494623655914","0.84","0.88"
"gallant-sweep-32","finished","gpu8a","0.9566265060240964","0.9088729016786572","","s13zonkh","2025-04-12T04:39:51.000Z","8","0.00002","128","0","true","T-Systems-onsite/german-roberta-sentence-transformer-v2","0.1","0.9295774647887324","0.796875","0.978494623655914","0.56","0.9616306954436452","0.9568345323741008","0.9577464788732394","0.9647887323943662","0.953125","0.953125","0.989247311827957","0.989247311827957","0.72","0.76"
"wobbly-sweep-14","finished","gpu1c","0.9518072289156626","0.9040767386091128","","ih7ugi0a","2025-04-17T00:32:06.000Z","10","0.00003","256","2","true","aari1995/German_Semantic_STS_V2","0.15","0.908450704225352","0.8125","0.956989247311828","0.72","0.9520383693045564","0.9448441247002398","0.9366197183098592","0.943661971830986","0.90625","0.9375","0.978494623655914","0.978494623655914","0.84","0.84"
"silver-sweep-4","finished","gpu1b","0.927710843373494","0.8968824940047961","","5u2dumx4","2025-04-15T00:39:20.000Z","10","0.00003","256","1","true","aari1995/German_Semantic_STS_V2","0.15","0.9014084507042254","0.796875","0.9516129032258064","0.72","0.9400479616306956","0.9232613908872902","0.9154929577464788","0.943661971830986","0.859375","0.875","0.9731182795698924","0.9731182795698924","0.76","0.84"
"absurd-sweep-9","finished","gpu1b","0.9493975903614458","0.8968824940047961","","8l8b3jag","2025-04-08T19:09:30.000Z","8","0.00003","256","2","true","aari1995/German_Semantic_STS_V2","0.1","0.9295774647887324","0.828125","0.9301075268817204","0.64","0.9520383693045564","0.947242206235012","0.9507042253521126","0.9577464788732394","0.953125","0.96875","0.978494623655914","0.978494623655914","0.68","0.68"
"visionary-sweep-15","finished","gpu8a","0.9373493975903614","0.8968824940047961","","whynh5tz","2025-04-09T15:07:13.000Z","12","0.00003","256","2","true","aari1995/German_Semantic_STS_V2","0.1","0.9225352112676056","0.8125","0.946236559139785","0.6","0.9520383693045564","0.9448441247002398","0.9507042253521126","0.9507042253521126","0.921875","0.953125","0.9731182795698924","0.978494623655914","0.76","0.76"
"likely-sweep-29","finished","gpu1b","0.9228915662650602","0.8920863309352518","","pp65ca8r","2025-04-21T00:07:41.000Z","10","0.00003","256","1","false","aari1995/German_Semantic_STS_V2","0.1","0.9154929577464788","0.796875","0.9247311827956988","0.76","0.9376498800959232","0.9280575539568344","0.943661971830986","0.9577464788732394","0.890625","0.90625","0.946236559139785","0.9516129032258064","0.8","0.8"
"sweepy-sweep-25","finished","gpu1c","0.9180722891566264","0.8848920863309353","","arsczn4h","2025-04-11T06:17:05.000Z","12","0.00002","128","1","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.9014084507042254","0.78125","0.9301075268817204","0.72","0.9496402877697842","0.9424460431654677","0.9507042253521126","0.9507042253521126","0.90625","0.90625","0.9731182795698924","0.978494623655914","0.76","0.84"
"gallant-sweep-23","finished","gpu1b","0.9542168674698795","0.8848920863309353","","xxbw9mtr","2025-04-10T23:01:08.000Z","10","0.00002","256","0","true","aari1995/German_Semantic_STS_V2","0.1","0.8943661971830986","0.765625","0.956989247311828","0.6","0.9280575539568344","0.9136690647482014","0.9154929577464788","0.9225352112676056","0.828125","0.890625","0.9623655913978496","0.967741935483871","0.76","0.76"
"swept-sweep-8","finished","gpu1c","0.946987951807229","0.882494004796163","","xac4xj8p","2025-04-15T16:34:21.000Z","10","0.00002","256","2","true","aari1995/German_Semantic_STS_V2","0.15","0.9154929577464788","0.75","0.9408602150537636","0.6","0.947242206235012","0.935251798561151","0.943661971830986","0.9577464788732394","0.890625","0.921875","0.967741935483871","0.9731182795698924","0.76","0.76"
"wobbly-sweep-23","finished","gpu1a","0.8939759036144578","0.8800959232613909","","tb1jbfdt","2025-04-19T12:42:34.000Z","10","0.00003","256","3","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.9014084507042254","0.8125","0.9086021505376344","0.72","0.9328537170263788","0.9232613908872902","0.943661971830986","0.9507042253521126","0.90625","0.9375","0.9301075268817204","0.935483870967742","0.8","0.8"
"neat-sweep-16","finished","gpu1a","0.9204819277108434","0.8800959232613909","","iki6evek","2025-04-17T13:16:25.000Z","10","0.00003","256","2","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.15","0.908450704225352","0.8125","0.9247311827956988","0.56","0.9376498800959232","0.9328537170263788","0.9366197183098592","0.9366197183098592","0.875","0.90625","0.967741935483871","0.967741935483871","0.8","0.8"
"daily-sweep-5","finished","gpu1d","0.927710843373494","0.8776978417266187","","5jirknob","2025-04-15T04:40:48.000Z","10","0.00003","256","1","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.9154929577464788","0.734375","0.935483870967742","0.6","0.9544364508393284","0.9376498800959232","0.9507042253521126","0.9647887323943662","0.859375","0.890625","0.978494623655914","0.9838709677419356","0.76","0.84"
"crisp-sweep-12","finished","gpu1a","0.9421686746987952","0.8752997601918465","","ej2c1plm","2025-04-16T08:55:45.000Z","10","0.00002","256","2","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.15","0.9014084507042254","0.78125","0.9408602150537636","0.48","0.9376498800959232","0.920863309352518","0.9366197183098592","0.9507042253521126","0.890625","0.921875","0.956989247311828","0.9623655913978496","0.64","0.72"
"wandering-sweep-27","finished","gpu1c","0.908433734939759","0.8729016786570744","","nkixqm6b","2025-04-20T13:16:09.000Z","10","0.00002","256","1","false","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.8732394366197183","0.828125","0.9193548387096774","0.64","0.9400479616306956","0.9232613908872902","0.908450704225352","0.9295774647887324","0.890625","0.921875","0.978494623655914","0.9838709677419356","0.68","0.72"
"unique-sweep-1","finished","gpu1c","0.9397590361445785","0.8729016786570744","","qf4lrla2","2025-04-14T14:37:46.000Z","10","0.00002","256","1","true","aari1995/German_Semantic_STS_V2","0.1","0.8873239436619719","0.796875","0.9247311827956988","0.6","0.9376498800959232","0.9280575539568344","0.943661971830986","0.9507042253521126","0.875","0.90625","0.9623655913978496","0.967741935483871","0.72","0.72"
"eager-sweep-33","finished","gpu8a","0.9204819277108434","0.8705035971223022","","bg6ks35w","2025-04-12T06:56:20.000Z","12","0.00002","128","1","true","aari1995/German_Semantic_STS_V2","0.15","0.8591549295774648","0.78125","0.9408602150537636","0.64","0.9424460431654677","0.9256594724220624","0.9295774647887324","0.9507042253521126","0.875","0.90625","0.978494623655914","0.978494623655914","0.64","0.72"
"grateful-sweep-35","finished","gpu1c","0.9325301204819276","0.86810551558753","","xi4ttii1","2025-04-12T14:22:45.000Z","8","0.00003","128","1","true","aari1995/German_Semantic_STS_V2","0.15","0.8661971830985915","0.765625","0.946236559139785","0.56","0.9304556354916068","0.9184652278177458","0.9154929577464788","0.9225352112676056","0.875","0.90625","0.9731182795698924","0.9731182795698924","0.64","0.72"
"winter-sweep-10","finished","gpu1b","0.9253012048192772","0.8657074340527577","","gd17ty7n","2025-04-16T04:42:37.000Z","10","0.00002","256","1","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.15","0.8873239436619719","0.734375","0.9408602150537636","0.52","0.9304556354916068","0.9088729016786572","0.9225352112676056","0.9366197183098592","0.84375","0.90625","0.9516129032258064","0.9623655913978496","0.68","0.72"
"upbeat-sweep-17","finished","gpu1d","0.8939759036144578","0.8657074340527577","","es0m4l8j","2025-04-17T14:01:37.000Z","10","0.00002","256","3","true","aari1995/German_Semantic_STS_V2","0.1","0.9014084507042254","0.78125","0.8870967741935484","0.72","0.9160671462829736","0.9112709832134293","0.9295774647887324","0.9295774647887324","0.890625","0.890625","0.9193548387096774","0.9247311827956988","0.8","0.84"
"usual-sweep-14","finished","gpu8a","0.9180722891566264","0.8633093525179856","","li4qmdeh","2025-04-09T15:07:13.000Z","8","0.00001","128","0","true","T-Systems-onsite/german-roberta-sentence-transformer-v2","0.1","0.8732394366197183","0.75","0.9301075268817204","0.6","0.935251798561151","0.9232613908872902","0.9154929577464788","0.9295774647887324","0.875","0.90625","0.967741935483871","0.9731182795698924","0.76","0.76"
"serene-sweep-7","finished","gpu1b","0.9156626506024096","0.8609112709832134","","bdj86o8k","2025-04-15T15:04:40.000Z","10","0.00002","256","2","true","aari1995/German_Semantic_STS_V2","0.1","0.8873239436619719","0.765625","0.9086021505376344","0.6","0.9184652278177458","0.9112709832134293","0.908450704225352","0.9154929577464788","0.84375","0.859375","0.967741935483871","0.967741935483871","0.68","0.72"
"amber-sweep-20","finished","gpu1c","0.8843373493975903","0.8609112709832134","","mz9ipsid","2025-04-19T12:42:32.000Z","10","0.00002","256","3","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.15","0.8802816901408451","0.734375","0.9086021505376344","0.72","0.9232613908872902","0.9136690647482014","0.943661971830986","0.9507042253521126","0.84375","0.890625","0.935483870967742","0.935483870967742","0.76","0.76"
"cool-sweep-11","finished","gpu1d","0.910843373493976","0.8609112709832134","","om16hkc3","2025-04-16T08:34:57.000Z","10","0.00002","256","2","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.1","0.8943661971830986","0.703125","0.9301075268817204","0.56","0.9424460431654677","0.9232613908872902","0.9366197183098592","0.9366197183098592","0.875","0.921875","0.9623655913978496","0.967741935483871","0.68","0.84"
"wild-sweep-6","finished","gpu1c","0.9156626506024096","0.8585131894484412","","8o0qonyv","2025-04-15T06:46:23.000Z","10","0.00003","256","1","true","deutsche-telekom/gbert-large-paraphrase-euclidean","0.15","0.8661971830985915","0.75","0.913978494623656","0.68","0.9424460431654677","0.9232613908872902","0.9295774647887324","0.943661971830986","0.875","0.953125","0.9516129032258064","0.956989247311828","0.8","0.8"
